service,endpoint,status_wo_feedback,status_w_feedback
CatWatch,/api/catwatch/endpoint_1,403,403
CatWatch,/api/catwatch/endpoint_2,200,200
CatWatch,/api/catwatch/endpoint_3,500,500
CatWatch,/api/catwatch/endpoint_4,200,200
CatWatch,/api/catwatch/endpoint_5,500,500
CatWatch,/api/catwatch/endpoint_6,500,500
CatWatch,/api/catwatch/endpoint_7,500,500
CatWatch,/api/catwatch/endpoint_8,500,500
CatWatch,/api/catwatch/endpoint_9,403,403
CatWatch,/api/catwatch/endpoint_10,200,200
CatWatch,/api/catwatch/endpoint_11,500,500
CatWatch,/api/catwatch/endpoint_12,500,500
CatWatch,/api/catwatch/endpoint_13,500,500
CatWatch,/api/catwatch/endpoint_14,403,403
CatWatch,/api/catwatch/endpoint_15,200,200
CatWatch,/api/catwatch/endpoint_16,403,403
CatWatch,/api/catwatch/endpoint_17,200,200
CatWatch,/api/catwatch/endpoint_18,200,200
CatWatch,/api/catwatch/endpoint_19,403,403
CatWatch,/api/catwatch/endpoint_20,200,200
CatWatch,/api/catwatch/endpoint_21,200,200
CatWatch,/api/catwatch/endpoint_22,403,403
CatWatch,/api/catwatch/endpoint_23,500,500
