service,endpoint,status_wo_feedback,status_w_feedback
GitLab,/api/gitlab/endpoint_1,200,200
GitLab,/api/gitlab/endpoint_2,403,403
GitLab,/api/gitlab/endpoint_3,403,403
GitLab,/api/gitlab/endpoint_4,200,200
GitLab,/api/gitlab/endpoint_5,403,403
GitLab,/api/gitlab/endpoint_6,403,403
GitLab,/api/gitlab/endpoint_7,200,200
GitLab,/api/gitlab/endpoint_8,403,403
GitLab,/api/gitlab/endpoint_9,200,200
GitLab,/api/gitlab/endpoint_10,403,403
GitLab,/api/gitlab/endpoint_11,403,403
GitLab,/api/gitlab/endpoint_12,403,403
GitLab,/api/gitlab/endpoint_13,403,403
GitLab,/api/gitlab/endpoint_14,403,403
GitLab,/api/gitlab/endpoint_15,200,200
GitLab,/api/gitlab/endpoint_16,500,500
GitLab,/api/gitlab/endpoint_17,403,403
GitLab,/api/gitlab/endpoint_18,200,200
GitLab,/api/gitlab/endpoint_19,200,200
GitLab,/api/gitlab/endpoint_20,403,403
GitLab,/api/gitlab/endpoint_21,403,403
GitLab,/api/gitlab/endpoint_22,403,403
GitLab,/api/gitlab/endpoint_23,403,403
GitLab,/api/gitlab/endpoint_24,400,200
GitLab,/api/gitlab/endpoint_25,200,200
GitLab,/api/gitlab/endpoint_26,500,500
GitLab,/api/gitlab/endpoint_27,200,200
GitLab,/api/gitlab/endpoint_28,200,200
GitLab,/api/gitlab/endpoint_29,403,403
GitLab,/api/gitlab/endpoint_30,200,200
GitLab,/api/gitlab/endpoint_31,403,403
GitLab,/api/gitlab/endpoint_32,403,403
GitLab,/api/gitlab/endpoint_33,200,200
GitLab,/api/gitlab/endpoint_34,403,403
GitLab,/api/gitlab/endpoint_35,403,403
GitLab,/api/gitlab/endpoint_36,403,403
GitLab,/api/gitlab/endpoint_37,200,200
GitLab,/api/gitlab/endpoint_38,403,403
GitLab,/api/gitlab/endpoint_39,403,403
GitLab,/api/gitlab/endpoint_40,403,403
GitLab,/api/gitlab/endpoint_41,403,403
GitLab,/api/gitlab/endpoint_42,200,200
GitLab,/api/gitlab/endpoint_43,500,500
GitLab,/api/gitlab/endpoint_44,403,403
GitLab,/api/gitlab/endpoint_45,403,403
GitLab,/api/gitlab/endpoint_46,200,200
GitLab,/api/gitlab/endpoint_47,200,200
GitLab,/api/gitlab/endpoint_48,403,403
GitLab,/api/gitlab/endpoint_49,200,200
GitLab,/api/gitlab/endpoint_50,403,403
GitLab,/api/gitlab/endpoint_51,403,403
GitLab,/api/gitlab/endpoint_52,403,403
GitLab,/api/gitlab/endpoint_53,403,403
GitLab,/api/gitlab/endpoint_54,403,403
GitLab,/api/gitlab/endpoint_55,403,403
GitLab,/api/gitlab/endpoint_56,500,500
GitLab,/api/gitlab/endpoint_57,403,403
GitLab,/api/gitlab/endpoint_58,403,403
GitLab,/api/gitlab/endpoint_59,403,403
GitLab,/api/gitlab/endpoint_60,403,403
GitLab,/api/gitlab/endpoint_61,403,403
GitLab,/api/gitlab/endpoint_62,500,500
GitLab,/api/gitlab/endpoint_63,403,403
GitLab,/api/gitlab/endpoint_64,200,200
GitLab,/api/gitlab/endpoint_65,200,200
GitLab,/api/gitlab/endpoint_66,200,200
GitLab,/api/gitlab/endpoint_67,200,200
GitLab,/api/gitlab/endpoint_68,403,403
GitLab,/api/gitlab/endpoint_69,200,200
GitLab,/api/gitlab/endpoint_70,403,403
GitLab,/api/gitlab/endpoint_71,200,200
GitLab,/api/gitlab/endpoint_72,403,403
GitLab,/api/gitlab/endpoint_73,403,403
GitLab,/api/gitlab/endpoint_74,200,200
GitLab,/api/gitlab/endpoint_75,400,200
GitLab,/api/gitlab/endpoint_76,403,403
GitLab,/api/gitlab/endpoint_77,403,403
GitLab,/api/gitlab/endpoint_78,200,200
GitLab,/api/gitlab/endpoint_79,200,200
GitLab,/api/gitlab/endpoint_80,403,403
GitLab,/api/gitlab/endpoint_81,500,500
GitLab,/api/gitlab/endpoint_82,403,403
GitLab,/api/gitlab/endpoint_83,403,403
GitLab,/api/gitlab/endpoint_84,403,403
GitLab,/api/gitlab/endpoint_85,200,200
GitLab,/api/gitlab/endpoint_86,403,403
GitLab,/api/gitlab/endpoint_87,400,500
GitLab,/api/gitlab/endpoint_88,403,403
GitLab,/api/gitlab/endpoint_89,403,403
GitLab,/api/gitlab/endpoint_90,403,403
GitLab,/api/gitlab/endpoint_91,403,403
GitLab,/api/gitlab/endpoint_92,403,403
GitLab,/api/gitlab/endpoint_93,403,403
GitLab,/api/gitlab/endpoint_94,403,403
GitLab,/api/gitlab/endpoint_95,403,403
GitLab,/api/gitlab/endpoint_96,200,200
GitLab,/api/gitlab/endpoint_97,200,200
GitLab,/api/gitlab/endpoint_98,403,403
GitLab,/api/gitlab/endpoint_99,403,403
