service,endpoint,status_wo_feedback,status_w_feedback
disease.sh,/api/disease.sh/endpoint_1,200,200
disease.sh,/api/disease.sh/endpoint_2,200,200
disease.sh,/api/disease.sh/endpoint_3,403,403
disease.sh,/api/disease.sh/endpoint_4,200,200
disease.sh,/api/disease.sh/endpoint_5,200,200
disease.sh,/api/disease.sh/endpoint_6,200,200
disease.sh,/api/disease.sh/endpoint_7,200,200
disease.sh,/api/disease.sh/endpoint_8,200,200
disease.sh,/api/disease.sh/endpoint_9,403,403
disease.sh,/api/disease.sh/endpoint_10,200,200
disease.sh,/api/disease.sh/endpoint_11,200,200
disease.sh,/api/disease.sh/endpoint_12,200,200
disease.sh,/api/disease.sh/endpoint_13,200,200
disease.sh,/api/disease.sh/endpoint_14,200,200
disease.sh,/api/disease.sh/endpoint_15,403,403
disease.sh,/api/disease.sh/endpoint_16,403,403
disease.sh,/api/disease.sh/endpoint_17,200,200
disease.sh,/api/disease.sh/endpoint_18,200,200
disease.sh,/api/disease.sh/endpoint_19,200,200
disease.sh,/api/disease.sh/endpoint_20,200,200
disease.sh,/api/disease.sh/endpoint_21,403,403
disease.sh,/api/disease.sh/endpoint_22,200,200
disease.sh,/api/disease.sh/endpoint_23,200,200
disease.sh,/api/disease.sh/endpoint_24,200,200
disease.sh,/api/disease.sh/endpoint_25,403,403
disease.sh,/api/disease.sh/endpoint_26,200,200
disease.sh,/api/disease.sh/endpoint_27,200,200
disease.sh,/api/disease.sh/endpoint_28,200,200
disease.sh,/api/disease.sh/endpoint_29,200,200
disease.sh,/api/disease.sh/endpoint_30,403,403
disease.sh,/api/disease.sh/endpoint_31,200,200
