service,endpoint,status_wo_feedback,status_w_feedback
features-service,/api/features/endpoint_1,500,500
features-service,/api/features/endpoint_2,200,200
features-service,/api/features/endpoint_3,500,500
features-service,/api/features/endpoint_4,500,500
features-service,/api/features/endpoint_5,500,500
features-service,/api/features/endpoint_6,500,500
features-service,/api/features/endpoint_7,200,200
features-service,/api/features/endpoint_8,500,500
features-service,/api/features/endpoint_9,200,200
features-service,/api/features/endpoint_10,200,200
features-service,/api/features/endpoint_11,500,500
features-service,/api/features/endpoint_12,200,200
features-service,/api/features/endpoint_13,200,200
features-service,/api/features/endpoint_14,200,200
features-service,/api/features/endpoint_15,500,500
features-service,/api/features/endpoint_16,200,200
features-service,/api/features/endpoint_17,200,200
features-service,/api/features/endpoint_18,200,200
features-service,/api/features/endpoint_19,200,200
features-service,/api/features/endpoint_20,200,200
features-service,/api/features/endpoint_21,200,200
features-service,/api/features/endpoint_22,500,500
features-service,/api/features/endpoint_23,200,200
features-service,/api/features/endpoint_24,500,500
features-service,/api/features/endpoint_25,500,500
features-service,/api/features/endpoint_26,500,500
features-service,/api/features/endpoint_27,500,500
features-service,/api/features/endpoint_28,500,500
features-service,/api/features/endpoint_29,200,200
features-service,/api/features/endpoint_30,500,500
features-service,/api/features/endpoint_31,500,500
