service,endpoint,status_wo_feedback,status_w_feedback
genome-nexus,/api/genome/endpoint_1,200,200
genome-nexus,/api/genome/endpoint_2,200,200
genome-nexus,/api/genome/endpoint_3,500,500
genome-nexus,/api/genome/endpoint_4,200,200
genome-nexus,/api/genome/endpoint_5,200,200
genome-nexus,/api/genome/endpoint_6,500,500
genome-nexus,/api/genome/endpoint_7,500,500
genome-nexus,/api/genome/endpoint_8,400,200
genome-nexus,/api/genome/endpoint_9,500,500
genome-nexus,/api/genome/endpoint_10,200,200
genome-nexus,/api/genome/endpoint_11,200,200
genome-nexus,/api/genome/endpoint_12,200,200
genome-nexus,/api/genome/endpoint_13,200,200
genome-nexus,/api/genome/endpoint_14,400,200
genome-nexus,/api/genome/endpoint_15,200,200
genome-nexus,/api/genome/endpoint_16,500,500
genome-nexus,/api/genome/endpoint_17,200,200
genome-nexus,/api/genome/endpoint_18,200,200
genome-nexus,/api/genome/endpoint_19,500,500
genome-nexus,/api/genome/endpoint_20,500,500
genome-nexus,/api/genome/endpoint_21,200,200
genome-nexus,/api/genome/endpoint_22,200,200
genome-nexus,/api/genome/endpoint_23,200,200
genome-nexus,/api/genome/endpoint_24,500,500
genome-nexus,/api/genome/endpoint_25,500,500
