service,endpoint,status_wo_feedback,status_w_feedback
realworld,/api/realworld/endpoint_1,400,200
realworld,/api/realworld/endpoint_2,500,500
realworld,/api/realworld/endpoint_3,200,200
realworld,/api/realworld/endpoint_4,400,500
realworld,/api/realworld/endpoint_5,400,200
realworld,/api/realworld/endpoint_6,500,500
realworld,/api/realworld/endpoint_7,200,200
realworld,/api/realworld/endpoint_8,200,200
realworld,/api/realworld/endpoint_9,400,200
realworld,/api/realworld/endpoint_10,500,500
realworld,/api/realworld/endpoint_11,400,200
realworld,/api/realworld/endpoint_12,200,200
realworld,/api/realworld/endpoint_13,400,500
realworld,/api/realworld/endpoint_14,403,403
realworld,/api/realworld/endpoint_15,403,403
realworld,/api/realworld/endpoint_16,500,500
realworld,/api/realworld/endpoint_17,200,200
realworld,/api/realworld/endpoint_18,500,500
realworld,/api/realworld/endpoint_19,500,500
